"store_id","store_name","si_name","si_size","git_size","unit_count","si_id","git_id","store_item_active","si_instock","si_image","git_image","price","si_upc","git_upc"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Old English","24 oz","24 oz can",NULL,"39ebcd0c-bc81-4a32-a1d3-363bb1062bd8","3ef32e53-e0af-4667-89e8-0f290c9c64c5",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Beer/4097dacc-33f3-49f0-b538-bd6fbcb58ac6.webp}","2.99",NULL,"34100006129"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Old Trap Teriyaki Jerky 10oz","10 oz","10 oz",NULL,"d2ba4b6a-510d-4009-b76e-115f95e67766","06a92268-affa-445b-9866-ead956a5cfc9",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/72095a53-36fd-443a-9000-572213fed4c8/Snacks/72af11a8-5415-4676-a3d5-4900bd073e19.webp}","18.99",NULL,"79694223125"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Wiley Wallaby Huckleberry 7.05oz","7.05 oz","7.05 oz",NULL,"e99d1f77-953f-422b-afdc-8faaed1c4bcb","fcc45446-0d5f-4db8-ba0d-1a13efe05774",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/2aaa9ff3-691f-42d6-adb4-809dbba40f37.webp}","4.49",NULL,"22224200738"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Wrigley Extra Peppermint Slim King Size","1 ct","15 sticks",NULL,"6cd7d299-3fc4-4c65-8973-f616cb14fd6f","5bd12382-073a-40ce-9aa2-6631f917d338",True,True,NULL,"{https://menu-item-images-bucket.s3.amazonaws.com/resized/57e26671fa2bc94c57a925d06b885c8d.png}","2.19",NULL,"22000008916"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Budweiser 6 Pack Bottle","12 oz","6 Pack - 12 oz bottles",NULL,"b66a7b07-114b-4b7b-b5a6-ae7be79165ca","4c949ff9-382f-4402-b6dc-1ff840606129",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/302c6b28-3228-4445-b501-e1da28695904/Beer/bbc0862b-f6fd-483b-b228-5fbdafc65eee.webp}","9.99",NULL,"18200008344"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Budweiser Chelada Can","25 oz","25 oz can",NULL,"b9b3e7bf-d9da-4ec6-ac6d-5220687788f5","2fcdf8e5-6f79-45dd-857f-115f509a7995",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/f687124c-80a8-454a-89b3-fd05eac0e7c8/Beer/072c85cf-1c51-40d9-a9cb-3c3479cf9585.webp}","3.99",NULL,"18200255090"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Lucas Fuel Treatment","1 ct","5.25 oz",NULL,"7702bc4d-a1e3-4461-a811-664fd0623d6a","7caf4776-8a59-4fd0-8dec-5b7c52fe1f03",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Automotive/4805c80a-f3d2-4820-a0bb-040db29dbdca.webp}","7.19",NULL,"49807100209"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Mega Smarties","1 ct","2.25 oz",NULL,"80f08766-8a53-4bd4-8b52-429de86d9ee6","3dfa132e-752d-4650-aad9-15ff85d070c0",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/7028efb0-33dc-409a-b8d2-502878935d5a.webp}","1.89",NULL,"11206005003"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Milk Duds Theater","1 ct","5 oz theater box",NULL,"2d634e3f-b19b-435b-b443-58b7598e1ff4","ee848613-b2ff-423c-8286-df8163675b5c",True,True,NULL,"{https://lula-store-platform.s3.amazonaws.com/production/stores/90dd6cde-ce08-42bd-92f9-bb1d298524ec/store_item/d4b4dceb-bfaa-43eb-8b40-e260661c8462/2022-02-17T00:44:57.874Z_450.jpg}","2.59",NULL,"10700021526"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Modelo Especial 18 Pack","12 oz","18 Pack - 12 oz cans",NULL,"e7cf234c-f049-425b-8765-0984f5562067","3f977d9d-18a9-4984-9aad-2075957c7e3f",True,True,NULL,"{https://menu-item-images-bucket.s3.amazonaws.com/resized/16f11b988d7fed77dbb68b900a0ed992.png}","23.49",NULL,"80660957111"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Skittles Orig Stdup Bag 9oz","9 oz","9 oz",NULL,"32660eb3-752f-438e-801c-f0e4affce72f","a6ee68bf-957e-4440-8632-4f9629378b5f",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/075b1345-4d48-4762-a125-73ba7670bf9a/Candy/655fdd03-e9f2-417b-b00c-1e05b5b9afe2.webp}","4.49",NULL,"22000123701"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","White Castle Chsbrgr 6ct","1 ct","11 oz",NULL,"94fd5b06-4ee2-485c-bf52-93b1e95fba55","826a7310-64d1-42ee-9064-cdea7594bcff",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Grocery/85b7374b-613c-4883-8dee-3e329cda10e1.webp}","7.99",NULL,"82988010066"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Monster Java Irish Blend","15 oz","15 oz can",NULL,"b138b735-fa78-4ea6-9ee3-458f6fdf40f3","0f036396-1a50-4d61-ae04-074eb245b961",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/72095a53-36fd-443a-9000-572213fed4c8/Coffee/8c7004a7-1a5a-436d-8e61-736262e2d1f7.webp}","3.59",NULL,"70847812517"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Monster Java Mean Bean","15 oz","15 oz can",NULL,"85bb280a-01e7-42a4-9769-5f7c5be438bc","287a3562-685c-4c3e-9c21-bc275cc11e4a",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Energy-Drinks-Electrolytes/c90c37d9-6097-4b5d-b693-f354edc03c88.webp}","3.59",NULL,"70847812609"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Tillamook Org Big Stick 2oz","1 ct",NULL,NULL,"52b6a64a-ad20-4bea-8fe4-2331381a6bb1","0541a2a0-705b-4bed-b8ae-8e45c9d9c969",True,True,NULL,"{https://lula-inventory-service-staging.s3.amazonaws.com/images/items/Snacks/0541a2a0-705b-4bed-b8ae-8e45c9d9c969.webp}","2.99",NULL,"51943053127"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Jacksons Automatic Transmission Fluid","1 qt","1 qt",NULL,"649f2777-1721-440d-988a-6e646d3a7fa9","2c6ad2a9-5b5a-4858-a2d5-41969207c4ee",True,True,"{https://lula-inventory-service-production.s3.amazonaws.com/images/a55f34d3-b6f4-4d97-941a-d3aece68d4d5/Automotive/649f2777-1721-440d-988a-6e646d3a7fa9_1698060353018.webp}","{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Automotive/a64a9d05-32bf-4d43-82bc-a14bd9fe8bc5.webp}","6.49",NULL,"893794008174"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Nerds Gummy Cluster 5oz","5 oz","5 oz",NULL,"33a24f45-f347-4860-a3f5-ccc3b0d5f13e","19302531-e9c2-454e-9017-81790b38bbc0",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/af114967-c551-4bde-9d61-75c89090085d/Candy/a10205c1-5bb2-4c24-b4bc-419ba239e78e.webp}","3.89",NULL,"79200049065"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Jacksons Bakehouse Oatmeal Cranberry Cookie","2.3 oz","2.3 oz",NULL,"d875548f-01ef-4bec-a4ba-0b4ca288c1ec","c4276e59-5eb7-4193-9aa1-18f535d4ee0e",True,True,"{https://lula-inventory-service-production.s3.amazonaws.com/images/a55f34d3-b6f4-4d97-941a-d3aece68d4d5/Snacks/d875548f-01ef-4bec-a4ba-0b4ca288c1ec_1698060358038.webp}","{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Snacks/be783093-7b52-407a-961c-0f0ca37d65b8.webp}","1.99",NULL,"983642502104"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Doritos Flmn Ht Ncho","1 ct","2.75 oz",NULL,"98896ca3-6dae-47d1-a47d-cee0adefb276","5d4d0ed1-8a09-49ad-adae-3bcd5a1c06df",True,True,NULL,"{https://menu-item-images-bucket.s3.amazonaws.com/fbf0c7a6-2bf1-45b0-9853-a27571ccde2c_28400325226.png}","2.49",NULL,"28400325226"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Chobani Strwbry Yogurt","6 oz","5.3 oz",NULL,"2530c0ac-518e-438f-bf7a-909b7de10865","96628384-5ff7-4934-b0ce-af361a548b05",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Grocery/1d598b94-67d7-4c12-b86a-45d33a789972.webp}","2.29",NULL,"894700010045"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Gatorlyte Cherry Lime","20 oz","20 oz bottle",NULL,"1c0dd66c-9dd2-43f9-b4f4-b2d2ae53666b","0048336c-3f3e-4b82-91bd-1193f6f28868",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Energy-Drinks-Electrolytes/ce17cac4-ab70-4756-828d-4939705db1fb.webp}","3.19",NULL,"52000049008"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Coors 6 Pack Can","16 oz","6 Pack - 16 oz cans",NULL,"c4891364-ae62-417e-aed7-4bb7ffe20f8b","5601162b-2c5a-4452-8440-25ee856953e6",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Beer/d2e72b27-4b70-455c-9379-9bca960f7150.webp}","10.49",NULL,"71990100025"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Pearson Nut Roll King Size","1 ct","3.25 oz",NULL,"d91479d6-9aef-40d2-b900-40811a3cf53a","43c4b265-5053-4ece-93c3-14b54c1dc32d",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/9219850a-a4da-4b11-95cd-7300f1b6c5dd/Snacks/d10564e8-420f-4f16-b1d6-723b75d4687c.webp}","2.99",NULL,"77290919558"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Jacksons Chocolate Pretzels","6 oz","6 oz",NULL,"a03e44bf-bd38-4d7c-8370-fe42d986e2f3","3b0ff8ad-7501-4434-ae07-55d9d36b903a",True,True,"{https://lula-inventory-service-production.s3.amazonaws.com/images/a55f34d3-b6f4-4d97-941a-d3aece68d4d5/Snacks/a03e44bf-bd38-4d7c-8370-fe42d986e2f3.webp}","{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Snacks/91b3c34a-071d-4bb3-8b26-5db4a8ca07bd.webp}","5.49",NULL,"983642005100"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Jacksons Juju Fish","6.25 oz","6.25 oz",NULL,"72fad1b1-39e3-4360-924b-244cf9797265","1ed2c68b-e1e8-4ab3-81d5-d9701e2d2ae7",True,True,"{https://lula-inventory-service-production.s3.amazonaws.com/images/a55f34d3-b6f4-4d97-941a-d3aece68d4d5/Candy/72fad1b1-39e3-4360-924b-244cf9797265_1698060395531.webp}","{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Candy/bfb6fe83-7853-4a47-81fd-8238bbf69253.webp}","2.29",NULL,"983642004820"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Coke Zero","20 oz","20 oz bottle",NULL,"ca4226ff-fce7-4def-8dbc-b3a04467f795","26d005a4-cde8-465f-87b2-6927be9d552f",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/f687124c-80a8-454a-89b3-fd05eac0e7c8/Soda/22d0916e-ac5d-4338-bf90-b3e5a431ebb2.webp}","2.79",NULL,"49000040869"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Tims Luau Chips","4.75 oz","4.75 oz",NULL,"4888a709-a0f3-4fa5-9364-1eccd74ff1c3","674b8a9f-f139-4992-a2e6-793dd3cc2feb",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Snacks/f17843a5-6c97-4fea-8a47-dd76b720b33a.webp}","4.49",NULL,"11594275699"
"a55f34d3-b6f4-4d97-941a-d3aece68d4d5","Jacksons Food Stores #615","Mikes Hard Lmn Zero 24oz","24 oz","24 oz can",NULL,"75365042-801c-46ff-b415-5dbf929a5f3d","13f925aa-5b60-47af-8671-f5bfa6fc4fea",True,True,NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Beer/8b62bf58-7111-4217-b433-639a5c66704e.webp}","4.49",NULL,"635985801825"
