"store_id","si_id","git_id","si_name","git_name","si_size","git_size","si_count","git_count","si_desc","git_desc","si_price","si_upc","git_upc","category","si_image","git_image","si_active","si_instock","tags"
"09f03ee1-68aa-43be-b88b-d1002df978f7","33075a9d-4806-4945-aa93-f44f5a32f967","1a33d406-1b56-4d21-bfee-ee4c47a784b5","Starbucks Double Shot Energy Mocha","Starbucks Doubleshot Energy Mocha","15 oz","15 oz can",NULL,"",NULL,"15 oz can","4.39",NULL,"12000028458","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Coffee/6ee309de-3f5c-4e6e-8022-da47adf0fa7b.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","807e292f-fb1d-4587-b79e-0db49b8df78f","ec017422-e2d5-4f18-9eca-be308fae37f5","Starbucks Double Shot Energy Vanilla","Starbucks Doubleshot Energy Vanilla","15 oz","15 oz can",NULL,"",NULL,"15 oz can","4.39",NULL,"12000028496","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Coffee/44a83a19-daf7-426e-b8ae-592b9b19e497.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","fa3150f9-1918-4c01-91c9-0bab3cf7a005","3085ae97-543c-4a71-80c9-6aae04c3bc40","Starbucks Double Shot Energy White Chocolate","Starbucks Doubleshot Energy White Chocolate","15 oz","15 oz can",NULL,"",NULL,"15 oz can","4.39",NULL,"12000038488","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Coffee/8851c3da-a082-4f82-8a39-4a63c594d7cb.webp}",True,True,"{Enriched,Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","5640a389-5e65-49b9-a15d-5bac196035a0","3fd71df6-b78b-4365-89f3-ecdd7a96a79d","Starbucks Ds Shot Caramel 15oz","Starbucks Doubleshot Energy Caramel","15 oz","15 oz can",NULL,"",NULL,"15 oz can","4.39",NULL,"12000221767","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Coffee/7d7fd904-9064-4ee7-a360-5f9747d6d5ea.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","41f155e8-c26f-4fa0-846a-1bdc0ec57a38","7548caff-f784-441f-8fbe-261e27e407c4","Starbucks Frapp Caramel","Starbucks Frappuccino Caramel","13.7 oz","13.7 oz bottle",NULL,"",NULL,"13.7 oz bottle","4.39",NULL,"12000016721","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/f687124c-80a8-454a-89b3-fd05eac0e7c8/Coffee/014a8cf3-557f-4aa5-8db8-d3aad24189c8.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","889a0940-d07d-4cd6-9566-6ad39efada9d","57b6c50e-2845-40d5-84dc-41be0a026a88","Starbucks Frapp Coffee","Starbucks Frappuccino Coffee","13.7 oz","13.7 oz bottle",NULL,"",NULL,"13.7 oz bottle","4.39",NULL,"12000001802","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Coffee/86bfddc4-1fba-44bf-adfa-4a734661bcd5.webp}",True,True,"{Enriched,Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","13870bce-ab81-435b-bb10-cdb9fb2ea88e","be9b3f1f-ba21-4529-a24b-fff177dc8681","Starbucks Frapp Mocha","Starbucks Frappuccino Mocha","13.7 oz","13.7 oz bottle",NULL,"",NULL,"13.7 oz bottle","4.39",NULL,"12000004520","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Coffee/88c9f864-fdf2-4b54-926b-cdfd169cdd44.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","51f122d1-7019-4c67-b506-ab9a9bacaab3","d1477b48-4271-4e98-b05a-b195c2f1b0e8","Starbucks Frapp Pepprmint Mocha 13.7oz","Starbucks Frappuccino Chilled Coffee Drink Peppermint Mocha Flavored","13.7 oz","13.7 fl oz",NULL,"",NULL,"13.7 Oz","4.19",NULL,"12000203978","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/items/Coffee/d1477b48-4271-4e98-b05a-b195c2f1b0e8.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","fc1ccf0e-781e-4c69-9881-c92edbdae6db","c16995ac-b766-4d94-bbb5-a1347a82ade0","Starbucks Frapp Vanilla","Starbucks Frappuccino Vanilla","13.7 oz","13.7 oz bottle",NULL,"",NULL,"13.7 oz bottle","4.39",NULL,"12000813313","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/f687124c-80a8-454a-89b3-fd05eac0e7c8/Coffee/4b3ffe39-b4a1-4ec6-9abe-3bb8aff8f3db.webp}",True,True,"{Certified}"
"09f03ee1-68aa-43be-b88b-d1002df978f7","027b01d0-b569-4b42-b310-5b8a6d32ab56","59fc43df-22a8-41cf-82ae-192f1dfdff4d","Starbucks Frapp White Chocolate Mocha 13.7oz","Starbucks Frappuccino White Chocolate Mocha","13.7 oz","13.7 oz bottle",NULL,"",NULL,"13.7 oz bottle","4.39",NULL,"12000151095","Beverages",NULL,"{https://lula-inventory-service-production.s3.amazonaws.com/images/28128e5b-f418-423f-8e56-7a5081ea15d3/Coffee/a7288be1-747f-4822-9bf1-31da3fcb0920.webp}",True,True,"{Certified}"
